week_ending,player_id,overall_mean,overall_sd,hard_mean,hard_sd,clay_mean,clay_sd,grass_mean,grass_sd
2026-08-09,jNyZsXZe,3.23237468,0.141489783,3.256546251,0.1423847174,3.494400752,0.1477312526,2.946177036,0.1485030596
2026-08-09,vyhksgUB,3.171194934,0.1408662179,3.266058783,0.1421962955,3.17775313,0.1482068016,3.069772889,0.1467346649
2026-08-09,UDzElXdm,3.034360234,0.1376939724,3.037075679,0.1384884673,2.999806933,0.1448768855,3.066198089,0.1440586123
2026-08-09,lI6fOOat,2.9620921,0.1592676852,3.013540757,0.1628438408,3.087282235,0.1685748596,2.785453307,0.1712925892
2026-08-09,KdojxrAR,2.864194726,0.1229722882,2.974345687,0.1221902806,2.818138656,0.1316414596,2.800099836,0.1317108054
2026-08-09,f5BXmEH6,2.787334645,0.1363114646,2.815516974,0.1381962191,2.753345909,0.1442620145,2.793141053,0.1422694512
2026-08-16,jNyZsXZe,3.295076861,0.1200428443,3.320696475,0.1176963846,3.557504684,0.1273397028,3.007029423,0.1312448284
2026-08-16,vyhksgUB,3.136316867,0.1403873511,3.230455511,0.1401996113,3.14348329,0.1476724436,3.0350118,0.147753313
2026-08-16,UDzElXdm,2.930996454,0.1195164883,2.928958666,0.1171000682,2.897132078,0.1278988429,2.966898619,0.129594597
2026-08-16,f5BXmEH6,2.927890671,0.1286454082,2.962271471,0.1278276887,2.894457745,0.1369890967,2.926942797,0.1375302653
2026-08-16,KdojxrAR,2.909135355,0.1321110404,3.021032965,0.1305187939,2.864001646,0.1401305662,2.842371453,0.1411328905
2026-08-16,lI6fOOat,2.832076391,0.1553093531,2.873135539,0.1559974521,2.958313399,0.1650847382,2.664780234,0.169979205
2026-08-23,jNyZsXZe,3.408843533,0.1208976671,3.436890626,0.1175927441,3.671280518,0.1281456127,3.118359454,0.1328765217
2026-08-23,vyhksgUB,3.239715396,0.1367573792,3.337365737,0.1350518961,3.247167137,0.144138234,3.134613312,0.1457650008
2026-08-23,f5BXmEH6,3.009679587,0.1120800442,3.046640689,0.1083708739,2.976354647,0.1215256709,3.006043426,0.1245978764
2026-08-23,UDzElXdm,2.940244096,0.1281286001,2.938821893,0.1251794535,2.906347678,0.136021964,2.975562716,0.1381561983
2026-08-23,lI6fOOat,2.884978326,0.1441650753,2.929210134,0.1410211465,3.010846014,0.1549285387,2.71487883,0.1628409381
2026-08-23,KdojxrAR,2.799553005,0.1138626442,2.909928197,0.1101791617,2.754114676,0.1228665786,2.734616144,0.1260095427
