match_id,match_date,player_1_won,probability_peak_22,probability_peak_24,probability_peak_26,probability_peak_28
A3w8Txlk,2024-01-20,1,0.7571388093,0.756579578,0.7559694983,0.7536144351
SvKpU0QG,2024-01-20,0,0.07426257384,0.07388166496,0.07457660581,0.07557800764
IistlRt9,2024-01-20,0,0.1193150255,0.1208464697,0.1194135577,0.121907723
z5oZkeGm,2024-01-20,1,0.7233462771,0.726496227,0.7274830511,0.7261547784
K8y8xPo9,2024-01-21,0,0.5646879687,0.5670407104,0.5650857684,0.5612920577
bwTxbKSa,2024-01-21,0,0.6870519609,0.6788162411,0.6776964632,0.6800596845
4Ex6vZV9,2024-01-22,0,0.4449103936,0.4443753443,0.4414323613,0.445910223
IqaPRen4,2024-01-22,1,0.8687475814,0.8674470573,0.8668604042,0.8641400877
Qq3czKKN,2024-01-22,0,0.144864009,0.1443898651,0.1434915107,0.1434721582
rHNlLHk0,2024-01-23,0,0.2096140791,0.2082410098,0.2063308858,0.2072332653
Yw8PqeYg,2024-01-23,0,0.607389098,0.6002777866,0.599670983,0.6012923701
bDVTpPrm,2024-01-24,0,0.3861755632,0.3872547982,0.3928690248,0.3911993647
vVs8dntp,2024-01-25,0,0.4836022368,0.4851775839,0.4794131291,0.4789448717
6iYhYdc3,2024-01-25,0,0.2834835677,0.2900725565,0.2911510758,0.2886769792
ShZfk3T6,2024-01-26,0,0.2190982018,0.2183341299,0.2197444599,0.2141320135
SvfMz4ED,2024-01-26,0,0.5424465576,0.5375467475,0.5468712431,0.5474086366
xAyDcRLQ,2024-01-26,0,0.4359953539,0.43519836,0.4074824389,0.4399371428
zJx3msbJ,2024-01-26,1,0.5610516565,0.5608064639,0.6068880402,0.6061003029
fon8b76K,2024-01-27,0,0.3836100583,0.3688622404,0.3521005229,0.314575384
MFYblNrD,2024-01-27,1,0.6317957806,0.6341865826,0.6464189086,0.636871827
l2zijqE0,2024-01-27,0,0.1907368377,0.1870943714,0.1837448027,0.1755992699
lleIypa7,2024-01-27,1,0.5494051467,0.5333308753,0.5460354232,0.5464797032
Ma8o9kDT,2024-01-27,0,0.1831327894,0.1832454839,0.1805014929,0.1812669962
WQuniPbf,2024-01-27,0,0.6868701185,0.6904436393,0.6928464935,0.6939784019
Gfm4amiE,2024-01-27,1,0.7281026,0.7413938951,0.753802541,0.7857552572
bDsvgoUs,2024-01-27,0,0.6453744637,0.5950941773,0.58751599,0.592140246
hzsrh5ql,2024-01-27,0,0.2769806916,0.2531068142,0.2411405919,0.2263959475
IawYLYBS,2024-01-27,0,0.3326668639,0.3383101561,0.3417473569,0.3390073297
hpCQtbPR,2024-01-27,1,0.613710611,0.6142116948,0.612699365,0.5892441593
b5uM0hG0,2024-01-27,1,0.2973607712,0.2947282331,0.2908554093,0.3119789464
dWDarMOa,2024-01-27,1,0.517583244,0.5185438431,0.5015265988,0.4890122534
fTjeFCni,2024-01-28,1,0.5512809533,0.5351865462,0.5629897209,0.5618978435
CjMH1gIi,2024-01-28,1,0.5775385036,0.548638908,0.5677981865,0.5719231029
0IgKuOVD,2024-01-28,0,0.1604659936,0.1528353445,0.1453952785,0.136335714
65cUI0O0,2024-01-28,1,0.3040176173,0.2973575776,0.3122749334,0.3182702513
E7IkQrWQ,2024-01-28,1,0.421915475,0.3732722767,0.3848668471,0.3893488043
KleIL2vr,2024-01-28,0,0.09239870371,0.08624349462,0.08028811453,0.07327399793
SEbQJt9f,2024-01-28,0,0.436965883,0.464113874,0.4486550387,0.448365466
v9hOvroK,2024-01-28,0,0.623565118,0.6255658187,0.6309125983,0.642007318
dpmTw20Q,2024-01-28,0,0.6314962027,0.6100989728,0.6039864101,0.6295636632
bufMKMgl,2024-01-28,0,0.6019670967,0.6112363069,0.5858137698,0.587034331
bgZfZL8s,2024-01-28,0,0.6358161434,0.6342726534,0.6326794976,0.6566451768
nF5xHvgD,2024-01-28,0,0.5824209024,0.584762495,0.5870916971,0.5923381235
lUnZHKw7,2024-01-28,0,0.6274103854,0.6285703411,0.6393834418,0.6409487666
hGYbYuOm,2024-01-28,1,0.5102613949,0.5126638267,0.5291628253,0.5036061186
EsFHo5Gf,2024-01-29,0,0.5041921878,0.4853182133,0.4744677572,0.4617559053
lUts1kPd,2024-01-29,1,0.4168352105,0.4195183622,0.4297210059,0.4248209876
zc3Qqqo7,2024-01-29,1,0.4398383113,0.4279410548,0.4288958256,0.4289501151
23eC7nwE,2024-01-29,0,0.5459489431,0.5461904624,0.5465821308,0.5453656396
f1zi04Vm,2024-01-29,0,0.2547831348,0.2522508064,0.2498394164,0.2474310497
O2uMIEja,2024-01-29,0,0.3140328535,0.3174430048,0.3255369293,0.3256478508
t0RiWXKb,2024-01-29,0,0.4477642646,0.4610476099,0.4703823141,0.4763460691
CdVwon59,2024-01-29,0,0.4285880744,0.4208001214,0.4126172675,0.416115133
bVlL5Q7Q,2024-01-29,0,0.1468826091,0.1407573271,0.131675783,0.1228356748
Uk3CGwef,2024-01-29,1,0.4097298287,0.4017621803,0.4094732404,0.3987572264
OE7Odq4L,2024-01-29,0,0.2426283548,0.2433395117,0.2429423384,0.2399996886
OWYCGbCi,2024-01-29,0,0.6869813206,0.6881641556,0.6898801817,0.6873296594
6ZAmiNRr,2024-01-29,1,0.4557027066,0.4560773052,0.4549400257,0.4610252426
xEqVT2m1,2024-01-29,0,0.5176422492,0.517920942,0.5118856911,0.5015741526
0vym1pGs,2024-01-30,0,0.4114184374,0.4086683383,0.41546959,0.4229678709
fsCsaTg9,2024-01-30,0,0.3098026272,0.308192195,0.3057006556,0.3124132954
tffG66hK,2024-01-30,0,0.6142585509,0.6162152459,0.6210860982,0.6225677574
t2rfnB8S,2024-01-30,1,0.687653772,0.6749369702,0.672491914,0.6758606781
SKuo09v3,2024-01-30,1,0.6515786154,0.6563145054,0.650168047,0.6478439904
SfAkc7OL,2024-01-30,0,0.2841299646,0.2824149662,0.279962394,0.2810855918
YXAobm9F,2024-01-30,1,0.4784982572,0.47172538,0.4669297786,0.4688205524
UcFyXZtr,2024-01-30,1,0.4347395463,0.4283553879,0.4355345187,0.4360507298
l07Ur30D,2024-01-30,0,0.1093098156,0.1010419277,0.09388702763,0.08659415431
zcc3krc9,2024-01-30,1,0.5286714606,0.5287152752,0.5320726006,0.5233282863
O0fGT0zj,2024-01-30,1,0.5449873726,0.54292057,0.5446575044,0.5445922929
zRhax6nd,2024-01-30,0,0.5826045341,0.5836783028,0.5831569628,0.5851671929
tzbajOs3,2024-01-30,0,0.2928914196,0.2867443077,0.293483547,0.2945223537
l017l2CF,2024-01-30,0,0.6170379486,0.6168512349,0.6169212493,0.613697964
4QOLe3JR,2024-01-30,0,0.5899782593,0.5910049075,0.5793884348,0.5777176803
EaEek1de,2024-01-30,1,0.7813731988,0.7915850523,0.7958132379,0.7999930944
OMu44xBE,2024-01-31,1,0.2925019072,0.2857613206,0.2928378975,0.2917977135
xz9D8G5g,2024-01-31,1,0.2670546419,0.2676998194,0.2653904437,0.2588980477
2igKSKkd,2024-01-31,1,0.8576796704,0.8644546404,0.8645157034,0.8630301448
IsIKSYcf,2024-01-31,0,0.5317102621,0.5270565748,0.5275722939,0.5297247981
0O0Eysx4,2024-01-31,1,0.7366322916,0.7415285343,0.7423496236,0.7431025854
2qaei4Sd,2024-01-31,1,0.5108625279,0.5177787884,0.5218876114,0.5250677867
nHMORhD0,2024-01-31,0,0.4073584135,0.4060906167,0.4058586476,0.4082450634
